English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
"amplitude, variation","amplitud , variación ","Github, Github",,
"5.89, m1","5.89, m1","None, None",,"5.89, m1"
fall,caer,Github,,
"spring, day","saltar, día","Github, Github",,
auth,auth,None,,auth
"favoura, yield, gap","favoura, arrojar, brecha ","None, Github, Github",,favoura
rain,llover (intransitive) le llovieron [los golpes,Github,,
gain,ganar,Github,,
"productivity, gain",ganar,Github,,
"whereas, favoura, yield, gap","siendo que, favoura, arrojar, brecha ","Github, None, Github, Github",,favoura
potential,voltaje ,Github,potential->voltage,
"favour, area","favour, area","None, None",,"favour, area"
set,solidificarse,Github,,
yield,arrojar,Github,,
"distinct, set","distinto , solidificarse","Github, Github",,
productivity,,,,
gap,brecha ,Github,,
"significant, exploitable, potential","significativo, exploitable, voltaje ","Github, None, Github",potential->voltage,exploitable
area,area,None,,area
"better, degeneration, structure","mejorar, devolución , estructura ","Github, Github, Github",degeneration->devolution,
degeneration,devolución ,Github,degeneration->devolution,
nucleotide,nucleótido,Github,,
"applicative, purpo",purpo,None,,purpo
mal,mal,None,,mal
"mammalian, system","mamífero , sistema ","Github, Github",mammalian->mammal,
"epoxy, indan, intermediate","indano, intermedio","Mexican Laws, Github",,
conversion,conversión ,Github,,
indene,indeno,Mexican Laws,,
cis-,cis-,None,,cis-
"enzymatic, conversion",conversión ,Github,,
system,sistema ,Github,,
"cis-, indene, enzymatic, conversion","cis-, indeno, conversión ","None, Mexican Laws, Github",,cis-
"similar, mammalian, system","similar, mamífero , sistema ","Github, Github, Github",mammalian->mammal,
"indene, enzymatic, conversion","indeno, conversión ","Mexican Laws, Github",,
tissues73,tissues73,None,,tissues73
"blood, vessel, tissues73, adult, blood","sangre, embarcación , tissues73, adulto , sangre","Github, Github, None, Github, Github",,tissues73
"blood, flow","sangre, fluir","Github, Github",,
"3.573, level","3.573, nivel ","None, Github",,3.573
engraftment,engraftment,None,,engraftment
"endothelial, cell","endotelial, célula","Github, Github",,
"blood, vessel","sangre, embarcación ","Github, Github",,
"engraftment, level","engraftment, nivel ","None, Github",,engraftment
flow,fluir,Github,,
level,nivel ,Github,,
vessel,embarcación ,Github,,
gene,gen,Github,,
"mutant, gene, DNA, sequence","mutante , gen, DNA, secuencia ","Github, Github, None, Github",,DNA
"amino, acid","amino , ácido","Github, Github",,
"derived, amino, acid, sequence","deducir, amino , ácido, secuencia ","Github, Github, Github, Github",derived->deduce,
acid,ácido,Github,,
"amino, acid, sequence","amino , ácido, secuencia ","Github, Github, Github",,
protein,proteína,Github,,
"mutant, amino, acid, sequence","mutante , amino , ácido, secuencia ","Github, Github, Github, Github",,
"parental, protein","materno, proteína","Github, Github",parental->maternal,
sequence,secuencia ,Github,,
"E., coli","E., coli","None, None",,"E., coli"
"LB, plate","LB, chapar","None, Github",,LB
inducer,,,,
carboxymethyl,carboxymethyl,None,,carboxymethyl
"UV254, polish, loop, area","UV254, pulimento cáscara, ojete , area","None, Github, Github, None",loop->eyelet,"UV254, area"
purpose,proponerse,Github,,
"study, purpose","estudiar, proponerse","Github, Github",,
study,estudiar,Github,,
post,poste ,Github,,
"three, bacterial, strain","tres, bacteriano, deformación bajo carga","Github, Github, Github",,
area,area,None,,area
hexamer,hexamer,None,,hexamer
"hexamer, monomer, solvent, expose, surface","hexamer, monómero, disolvente, exponer, superficie ","None, Github, Github, Github, Github",,hexamer
"pa, unique, loop","pa, único , ojete ","Chemical Element, Github, Github",loop->eyelet,
"N107, cq71","N107, cq71","None, None",,"N107, cq71"
surface,superficie ,Github,,
"protein, quantification, protein, expression","proteína, proteína, expresión","Github, Github, Github",,
protein,proteína,Github,,
"protein, quantification",proteína,Github,,
"protein, expression","proteína, expresión","Github, Github",,
expression,expresión,Github,,
evolution,formación de gases,Github,,
study,estudiar,Github,,
"human, carcinoma, wide, range","humano , ancho, rango ","Github, Github, Github",,
"excellent, tumor, localization","excelente, tumor , localización","Github, Github, Github",,
animal,animal ,Github,,
murine,,,,
range,rango ,Github,,
localization,localización,Github,,
mail,enviar por correo,Github,,
address,dirigir,Github,,
"reprint, request, address, correspondence","separarse, pedir, dirigir, acuerdo ","Github, Github, Github, Github","reprint->separate, correspondence->agreement",
request,pedir,Github,,
"abb, e, mail, address","e, enviar por correo, dirigir","None, Github, Github",,e
science,ciencia ,Github,,
standardtool,standardtool,None,,standardtool
"garcs, chvez, et, al.1","garcs, chvez, et, al.1","None, None, None, None",,"garcs, chvez, et, al.1"
"6.35, mm, thick, stainless, ste","6.35, mm, espeso, stainless, ste","None, None, Github, None, None",,"6.35, mm, stainless, ste"
whey,suero de la leche,Github,,
ste,ste,None,,ste
"stainless, ste","stainless, ste","None, None",,"stainless, ste"
"converged, mean, structure","converger, querer decir, estructura ","Github, Github, Github",converged->converge,
"DLPC, d64, vesicle","DLPC, d64, vesícula ","None, None, Github",,"DLPC, d64"
"good, fit, superposition","bien , quedar","Github, Github",,
"peptide, backbone","péptido, espina dorsal ","Github, Github",,
"backbone, heavy, atom","espina dorsal , pesado, átomo","Github, Github, Github",,
superposition,,,,
F16W,F16W,None,,F16W
atom,átomo,Github,,
peptide,péptido,Github,,
"final, converged, structure","final , converger, estructura ","Github, Github, Github",converged->converge,
residue,resto ,Github,residue->remainder,
"DLPC, d64","DLPC, d64","None, None",,"DLPC, d64"
backbone,espina dorsal ,Github,,
structure,estructura ,Github,,
"heavy, atom","pesado, átomo","Github, Github",,
vesicle,vesícula ,Github,,
fall,caer,Github,,
hour,hora ,Github,,
interval,interval,None,,interval
"h, hour, interval","h, hora , interval","Chemical Element, Github, None",,interval
"30, 29, august, winter","30, 29, agosto , invernar","None, None, Github, Github",,"30, 29"
das,damán ,Github,das->hyrax,
city,ciudad ,Github,,
"parque, estadual, das","parque, estadual, damán ","None, None, Github",das->hyrax,"parque, estadual"
depth,profundidad ,Github,,
type,escribir a máquina,Github,,
"surface, area","superficie , area","Github, None",,area
"so, paulo, city, southeast","so, paulo, ciudad , sureste ","None, None, Github, Github",,"so, paulo"
southeast,sureste ,Github,,
fig,higuera ,Github,,
"PRON-, maximum, depth, 4.60, m","PRON-, máximo, profundidad , 4.60, m","None, Github, Github, None, None",,"PRON-, 4.60, m"
"maximum, depth","máximo, profundidad ","Github, Github",,
"estadual, das","estadual, damán ","None, Github",das->hyrax,estadual
"cwb, type","cwb, escribir a máquina","None, Github",,cwb
46o37w,46o37w,None,,46o37w
climate,clima ,Github,,
"1956, young, brooks, mam-, mal","1956, juventud , arroyo , mam-, mal","None, Github, Github, None, None",brooks->brook,"1956, mam-, mal"
"indan, intermediate","indano, intermedio","Mexican Laws, Github",,
"mam-, mal","mam-, mal","None, None",,"mam-, mal"
indan,indano,Mexican Laws,,
intermediate,intermedio,Github,,
"noncellulosomal, endoglucanase","noncellulosomal, endoglucanase","None, None",,"noncellulosomal, endoglucanase"
"clostridium, cellulovoran, engb","cellulovoran, engb","None, None",,"cellulovoran, engb"
"noncellulosomal, endoglucanase, vitro, DNA, recombination","noncellulosomal, endoglucanase, vitro, DNA","None, None, None, None",,"noncellulosomal, endoglucanase, vitro, DNA"
engd,engd,None,,engd
"cellulosomal, endoglucanase","cellulosomal, endoglucanase","None, None",,"cellulosomal, endoglucanase"
"koichiro, murashima, endoglucanase, engd","koichiro, murashima, endoglucanase, engd","None, None, None, None",,"koichiro, murashima, endoglucanase, engd"
engd,engd,None,,engd
"endoglucanase, engd","endoglucanase, engd","None, None",,"endoglucanase, engd"
recombination,,,,
"vitro, DNA, recombination","vitro, DNA","None, None",,"vitro, DNA"
"engd, endoglucanase","engd, endoglucanase","None, None",,"engd, endoglucanase"
"thermostabilization, rule","thermostabilization, mandar","None, Github",,thermostabilization
thermostabilization,thermostabilization,None,,thermostabilization
"freshwater, lake, sediment","laca (de pintor), sedimento ","Github, Github",,
"methanotroph, abundance","methanotroph, abundancia","None, Github",,methanotroph
lake,laca (de pintor),Github,,
sediment,sedimento ,Github,,
"sole, source","lenguado , fuente ","Github, Github",,
energy,energía,Github,,
cycling,ciclismo ,Github,,
science,ciencia ,Github,,
"energy, C","energía, C","Github, None",,C
source,fuente ,Github,,
bacteria,bacteria,Github,,
"O, N, C, global, cycling","O, N, C, mundial , ciclismo ","None, None, None, Github, Github",,"O, N, C"
"O, N, C","O, N, C","None, None, None",,"O, N, C"
nature,naturaleza ,Github,,
role,rol ,Github,,
"O, N","O, N","None, None",,"O, N"
methanotroph,methanotroph,None,,methanotroph
"methane, oxidize, bacteria","metano, bacteria","Github, Github",,
"energy, C, sole, source","energía, C, lenguado , fuente ","Github, None, Github, Github",,C
"polish, loop, area","pulimento cáscara, ojete , area","Github, Github, None",loop->eyelet,area
"late, exponential, phase","tarde, phase","Github, None",,phase
strain,deformación bajo carga,Github,,
R2A,R2A,None,,R2A
phase,phase,None,,phase
"R., pickettiimf254a","R., pickettiimf254a","None, None",,"R., pickettiimf254a"
"15, min","15, minutar","None, Github",min->minute,15
"1.0, OD600","1.0, OD600","None, None",,"1.0, OD600"
"cabbage, virus, resistance, disease","pasta , virus, resistencia , enfermedad ","Github, Github, Github, Github",,
"tobacco, insect, resistance, disease, resistance","tabaco, insecto , resistencia , enfermedad , resistencia ","Github, Github, Github, Github, Github",,
resistance,resistencia ,Github,,
"genomic, signal","genomic, señalar","None, Github",,genomic
"genomic, signal, sequence","genomic, señalar, secuencia ","None, Github, Github",,genomic
conversion,conversión ,Github,,
"nucleotide, conversion, genomic, signal, sequence","nucleótido, conversión , genomic, señalar, secuencia ","Github, Github, None, Github, Github",,genomic
signal,señalar,Github,,
nucleotide,nucleótido,Github,,
"nucleotide, conversion","nucleótido, conversión ","Github, Github",,
sequence,secuencia ,Github,,
"human, genome","humano , genoma ","Github, Github",,
genome,genoma ,Github,,
"public, access","público , acceder","Github, Github",,
datum,dato ,Github,,
"human, genome, complete, sequencing","humano , genoma , cumplir, secuencia ","Github, Github, Github, Github",sequencing->sequence,
"complete, sequencing","cumplir, secuencia ","Github, Github",sequencing->sequence,
progenitor,progenitor ,Github,,
blood,sangre,Github,,
"pathological, normal, remodeling","patológico, normal, remodelar","Github, Github, Github",remodeling->remodel,
development,desarrollo ,Github,,
"pa, ensemble","pa, conjunto ","Chemical Element, Github",,
study,estudiar,Github,,
al.1,al.1,None,,al.1
"issue, 145, page","entregar, 145, paje ","Github, None, Github",,145
extension,extensión ,Github,,
page,paje ,Github,,
area,area,None,,area
"optical, tweezer",ocular,Github,optical->ocular,
"tweezer, light, bessel, beam","encender, travesaño ","Github, Github",,
tweezer,,,,
"experimental, possibility","experimental, posibilidad ","Github, Github",,
"tweezer, light",encender,Github,,
throu,throu,None,,throu
shearing,esquilar,Github,shearing->shear,
bioreactor,bioreactor,None,,bioreactor
"T., ferrooxidan","T., ferrooxidan","None, None",,"T., ferrooxidan"
particle,partícula,Github,,
"particle, shearing, elimination","partícula, esquilar, evacuación ","Github, Github, Github","shearing->shear, elimination->evacuation",
"ore, bioreactor","mena, bioreactor","Github, None",,bioreactor
"pyrite, biooxidation, process, particle, shearing","pirita , biooxidation, proceso, partícula, esquilar","Github, None, Github, Github, Github",shearing->shear,biooxidation
"mechanically, agitated, slurry, bioreactor","mecánicamente, perturbar, mezcla, bioreactor","Github, Github, Mexican Laws, None",agitated->agitate,bioreactor
ore,mena,Github,,
"immobilize, ore, bioreactor","inmovilizar, mena, bioreactor","Github, Github, None",,bioreactor
effect,efecto,Github,,
"slurry, bioreactor","mezcla, bioreactor","Mexican Laws, None",,bioreactor
ferrooxidan,ferrooxidan,None,,ferrooxidan
process,proceso,Github,,
"particle, shearing","partícula, esquilar","Github, Github",shearing->shear,
journal,gorrón ,Github,,
article,artículo ,Github,,
work,trabajar,Github,,
"follow, reason","seguir, reason","Github, None",,reason
"fusion, protein","fusión, proteína","Github, Github",,
densitometry,,,,
"GFP, tag, fusion, protein","GFP, etiquetar, fusión, proteína","None, Github, Github, Github",,GFP
"SDSPAGE, densitometry, protein, quantification","SDSPAGE, proteína","None, Github",,SDSPAGE
"PRON-, maximum, depth","PRON-, máximo, profundidad ","None, Github, Github",,PRON-
cytochrome,citocromo,Github,,
"AV6B., determination, AV1B, strain, AV1A","AV6B., ahínco , AV1B, deformación bajo carga, AV1A","None, Github, None, Github, None",,"AV6B., AV1B, AV1A"
rod,barra,Github,,
"rod, shape, cell","barra, forma , célula","Github, Github, Github",,
"strain, AV1A","deformación bajo carga, AV1A","Github, None",,AV1A
AV1A,AV1A,None,,AV1A
"gram, negative, rod, shape, cell","gramo, negativo , barra, forma , célula","Github, Github, Github, Github, Github",,
"restrict, amplified, 16S, profile","restringir, amplificar, 16S, perfil ","Github, Github, None, Github",amplified->amplify,16S
"16S, rdna","16S, rdna","None, None",,"16S, rdna"
profile,perfil ,Github,,
"air, supply","aire, proveer","Github, Github",,
air,aire,Github,,
removal,mudanza ,Github,,
"figure, experimental, apparatus","ocurrírsele, experimental, aparato ","Github, Github, Github",,
"cylindrical, fermenter","cilíndrico, fermenter","Github, None",,fermenter
storage,almacenamiento,Mexican Laws,,
"60-L, plastic, container","60-L, plástico, contenedor","None, Github, Github",,60-L
"plant, storage, tank","plantar, almacenamiento, tanque ","Github, Mexican Laws, Github",,
"acid, whey","ácido, suero de la leche","Github, Github",,
plant,plantar,Github,,
whey,suero de la leche,Github,,
"plant, storage","plantar, almacenamiento","Github, Mexican Laws",,
plastic,plástico,Github,,
"plastic, container","plástico, contenedor","Github, Github",,
container,contenedor,Github,,
tank,tanque ,Github,,
metab,metab,None,,metab
yeast,levadura,Github,,
"fermentation, system","fermentación, sistema ","Github, Github",,
"entire, fermentation, system","entire, fermentación, sistema ","None, Github, Github",,entire
heat,calor,Github,,
conformation,configuraciones moleculares,Mexican Laws,,
"methanotroph, methane, oxidize, bacteria","methanotroph, metano, bacteria","None, Github, Github",,methanotroph
constraint,restricción ,Github,,
"yield, gap","arrojar, brecha ","Github, Github",,
"exploitable, potential","exploitable, voltaje ","None, Github",potential->voltage,exploitable
"high, technology, solution, addition","alto, tecnología , solución , adición ","Github, Github, Github, Github",,
role,rol ,Github,,
addition,adición ,Github,,
"research, role","investigar, rol ","Github, Github",,
"post, harvest, handling","poste , cosechar, manipulación ","Github, Github, Github",,
"high, technology, solution","alto, tecnología , solución ","Github, Github, Github",,
harvest,cosechar,Github,,
"high, technology","alto, tecnología ","Github, Github",,
"post, harvest","poste , cosechar","Github, Github",,
handling,manipulación ,Github,,
condition,condición ,Github,,
"large, scale","grande, costra de óxido balanza escala","Github, Github",,
activity,actividad,Github,,
"enzymatic, activity",actividad,Github,,
scale,costra de óxido balanza escala,Github,,
"innate, characteristic","innato, característica ","Github, Github",,
number,numerar,Github,,
"biocatalytic, strain, extant, enzymatic, activity","deformación bajo carga, existente , actividad","Github, Github, Github",,
"bioconversion, process","bioconversión, proceso","Mexican Laws, Github",,
"large, scale, bioconversion, process, development","grande, costra de óxido balanza escala, bioconversión, proceso, desarrollo ","Github, Github, Mexican Laws, Github, Github",,
technique,técnica ,Github,,
strain,deformación bajo carga,Github,,
"increase, number","aumentar, numerar","Github, Github",,
"extant, enzymatic, activity","existente , actividad","Github, Github",,
maturation,maduración ,Github,,
remodeling,remodelar,Github,remodeling->remodel,
"genomic, research, dawn","genomic, investigar, amanecer","None, Github, Github",,genomic
research,investigar,Github,,
"genomic, research","genomic, investigar","None, Github",,genomic
"gene, product, numerous, gene, discovery","gen, producto , numeroso , gen, descubrimiento ","Github, Github, Github, Github, Github",,
buffer,tampón,Mexican Laws,,
"25, mm, Na, acetate, buffer","25, mm, Na, acetato, tampón","None, None, None, Github, Mexican Laws",,"25, mm, Na"
"recombinant, E., coli","E., coli","None, None",,"E., coli"
agar,agar,Mexican Laws,,
cellulose,celulosa,Github,,
"Na, acetate","Na, acetato","None, Github",,Na
"medium, viscosity","médium, viscosidad","Github, Github",,
"medium, viscosity, Na, salt","médium, viscosidad, Na, salar","Github, Github, None, Github",,Na
"soft, agar","blando, agar","Github, Mexican Laws",,
coli,coli,None,,coli
"bacterial, strain","bacteriano, deformación bajo carga","Github, Github",,
min,minutar,Github,min->minute,
centrifugation,centrifugación,Mexican Laws,,
OD600,OD600,None,,OD600
washe,washe,None,,washe
cell,célula,Github,,
"8000, rpm",8000,None,,8000
"GFP, tag, fusion, protein, expression","GFP, etiquetar, fusión, proteína, expresión","None, Github, Github, Github, Github",,GFP
"SDSPAGE, densitometry",SDSPAGE,None,,SDSPAGE
quantification,,,,
fusion,fusión,Github,,
light,encender,Github,,
fluorescent,,,,
"dynamic, microbe","dinámico, microbio","Github, Github",,
microbe,microbio,Github,,
"fluorescent, protein",proteína,Github,,
protein,proteína,Github,,
"green, fluorescent, protein","verde, proteína","Github, Github",,
bacteria,bacteria,Github,,
prokaryote,procariota ,Github,,
correspondence,acuerdo ,Github,correspondence->agreement,
"e, mail","e, enviar por correo","None, Github",,e
"e, mail, address","e, enviar por correo, dirigir","None, Github, Github",,e
reprint,separarse,Github,reprint->separate,
"address, correspondence","dirigir, acuerdo ","Github, Github",correspondence->agreement,
"reprint, request","separarse, pedir","Github, Github",reprint->separate,
"final, volume","final , volumen ","Github, Github",,
end,acabar,Github,,
"100, l","100, l","None, None",,"100, l"
"DNA, template","DNA, plantilla ","None, Github",,DNA
volume,volumen ,Github,,
min,minutar,Github,min->minute,
"if, tweezer, light, bessel, beam","if, encender, travesaño ","None, Github, Github",,if
beam,travesaño ,Github,,
problem,problema ,Github,,
possibility,posibilidad ,Github,,
particle,partícula,Github,,
"tiny, particle","diminuto, partícula","Github, Github",,
"420, residue","420, resto ","None, Github",residue->remainder,420
"residue, helical, conformation","resto , helicoidal, configuraciones moleculares","Github, Github, Mexican Laws",residue->remainder,
"helical, conformation","helicoidal, configuraciones moleculares","Github, Mexican Laws",,
"420, residue, peptide, backbone","420, resto , péptido, espina dorsal ","None, Github, Github, Github",residue->remainder,420
"converged, structure","converger, estructura ","Github, Github",converged->converge,
d64,d64,None,,d64
magainin,magainin,None,,magainin
sigmoidal,,,,
"figure, antiparallel, helix","ocurrírsele, hélice ","Github, Github",,
"trp, introduce, magainin","trp, presentar, magainin","None, Github, None",,"trp, magainin"
formation,constitución ,Github,formation->constitution,
observation,observación ,Github,,
"other, observation","otro , observación ","Github, Github",,
data,datos ,Github,,
yolk,yema ,Github,,
dimer,dimero,Github,,
"4.60, m","4.60, m","None, None",,"4.60, m"
area,area,None,,area
"regional, climate","regional, clima ","Github, Github",,
"so, paulo, city","so, paulo, ciudad ","None, None, Github",,"so, paulo"
"kppens, internatio, cwb, type","kppens, internatio, cwb, escribir a máquina","None, None, None, Github",,"kppens, internatio, cwb"
fonte,fonte,None,,fonte
surface,superficie ,Github,,
station,estación ,Github,,
co-determinants,co-determinants,None,,co-determinants
"collect, sta","coleccionar, sta","Github, None",,sta
method,method,Github,,
"collect, sta, 200, m","coleccionar, sta, 200, m","Github, None, None, None",,"sta, 200, m"
braz,braz,None,,braz
sta,sta,None,,sta
"2002, value","2002, valor","None, Github",,2002
"collect, sta, 200, m, station","coleccionar, sta, 200, m, estación ","Github, None, None, None, Github",,"sta, 200, m"
"co-determinants, table, show, estimate, method","co-determinants, tabular, mostrar, estimar, method","None, Github, Github, Github, Github",,co-determinants
value,valor,Github,,
"200, m","200, m","None, None",,"200, m"
summer,veranear,Github,,
winter,invernar,Github,,
"390, ly, spring, sample, day","390, ly, saltar, samplear, día","None, None, Github, Github, Github",,"390, ly"
"control, treatment, evaluation","control, trato , evaluación ","Github, Github, Github",,
"bone, marrow, transplant","[mexico] quemarse las pestañas, médula , trasplantar","Github, Github, Github",,
"new, bone, marrow, transplant, unit","nuevo, [mexico] quemarse las pestañas, médula , trasplantar, unidad ","Github, Github, Github, Github, Github",,
"homologous, protein","homólogo, proteína","Github, Github",,
rule,mandar,Github,,
"DNA, recombination",DNA,None,,DNA
"amino, acid, sequence, comparison","amino , ácido, secuencia , comparación ","Github, Github, Github, Github",,
endoglucanase,endoglucanase,None,,endoglucanase
"non-cellulosomal, engd, endoglucanase","non-cellulosomal, engd, endoglucanase","None, None, None",,"non-cellulosomal, engd, endoglucanase"
"non-cellulosomal, engd, endoglucanase, one, strategy","non-cellulosomal, engd, endoglucanase, uno, estrategia","None, None, None, Github, Github",,"non-cellulosomal, engd, endoglucanase"
acid,ácido,Github,,
DNA,DNA,None,,DNA
"clostridium, cellulovoran, engb","cellulovoran, engb","None, None",,"cellulovoran, engb"
methane,metano,Github,,
"important, role","importante, rol ","Github, Github",,
"global, cycling","mundial , ciclismo ","Github, Github",,
"whittenbury, et, al, air, atmosphere","whittenbury, et, al, aire, atmósfera","None, None, Chemical Element, Github, Github",,"whittenbury, et"
cell,célula,Github,,
"cell, count","célula, señal (de un contador Geiger)","Github, Github",,
methane,metano,Github,,
count,señal (de un contador Geiger),Github,,
"air, atmosphere","aire, atmósfera","Github, Github",,
air,aire,Github,,
extraction,extraction,None,,extraction
methanotroph,methanotroph,None,,methanotroph
atmosphere,atmósfera,Github,,
"reference, methanotroph","reference, methanotroph","None, None",,"reference, methanotroph"
"microscopic, cell, count","microscópico, célula, señal (de un contador Geiger)","Github, Github, Github",,
plate,chapar,Github,,
album,álbum ,Github,,
"DNA, extraction, reference, methanotroph","DNA, extraction, reference, methanotroph","None, None, None, None",,"DNA, extraction, reference, methanotroph"
"pure, culture","puro , cultura ","Github, Github",,
"8000, rpm, centrifugation","8000, centrifugación","None, Mexican Laws",,8000
"0.6, 1.0, OD600","0.6, 1.0, OD600","None, None, None",,"0.6, 1.0, OD600"
"bradyrhizobium, sp","bradyrhizobium, sp","None, None",,"bradyrhizobium, sp"
rpm,,,,
"0.7, 0.6, 1.0, OD600","0.7, 0.6, 1.0, OD600","None, None, None, None",,"0.7, 0.6, 1.0, OD600"
pickettii,pickettii,None,,pickettii
depth,profundidad ,Github,,
opportunity,oportunidad ,Github,,
"unique, information, depository, datum","único , información , depositar, dato ","Github, Github, Github, Github",depository->deposit,
"information, depository","información , depositar","Github, Github",depository->deposit,
access,acceder,Github,,
depository,depositar,Github,depository->deposit,
sequencing,secuencia ,Github,sequencing->sequence,
"repr, standard, approach","repr, estándar , aproximarse","None, Github, Github",,repr
"content, public, access","contentar, público , acceder","Github, Github, Github",,
"unique, information, depository","único , información , depositar","Github, Github, Github",depository->deposit,
approach,aproximarse,Github,,
"standard, approach","estándar , aproximarse","Github, Github",,
information,información ,Github,,
content,contentar,Github,,
gene,gen,Github,,
discovery,descubrimiento ,Github,,
product,producto ,Github,,
"numerous, gene","numeroso , gen","Github, Github",,
"gene, product, numerous, gene","gen, producto , numeroso , gen","Github, Github, Github, Github",,
light,encender,Github,,
"bessel, beam",travesaño ,Github,,
"interesting, experimental, possibility","interesante, experimental, posibilidad ","Github, Github, Github",,
time,cronometrar,Github,,
figure,ocurrírsele,Github,,
inte,inte,None,,inte
cancer,cáncer ,Github,,
"affect, gene, property","afectar, gen, propiedad ","Github, Github, Github",,
"affect, gene","afectar, gen","Github, Github",,
"genetic, disease","genético, enfermedad ","Github, Github",,
syndrome,síndrome ,Github,,
"genetic, disease, people","genético, enfermedad , poblar con","Github, Github, Github",,
property,propiedad ,Github,,
reason,reason,None,,reason
"new, research, article","nuevo, investigar, artículo ","Github, Github, Github",,
"research, article","investigar, artículo ","Github, Github",,
"work, relate, new, research, article","trabajar, relate, nuevo, investigar, artículo ","Github, None, Github, Github, Github",,relate
reason,reason,None,,reason
research,investigar,Github,,
student,estudiante ,Github,,
journal,gorrón ,Github,,
article,artículo ,Github,,
work,trabajar,Github,,
"follow, reason","seguir, reason","Github, None",,reason
"new, research, article","nuevo, investigar, artículo ","Github, Github, Github",,
"research, article","investigar, artículo ","Github, Github",,
"work, relate, new, research, article","trabajar, relate, nuevo, investigar, artículo ","Github, None, Github, Github, Github",,relate
reason,reason,None,,reason
research,investigar,Github,,
student,estudiante ,Github,,
"insertional, mutagenesis",insertional,None,,insertional
protein,proteína,Github,,
"protein, gp64","proteína, gp64","Github, None",,gp64
envelope,sobre ,Github,,
property,propiedad ,Github,,
"surface, property","superficie , propiedad ","Github, Github",,
fluorescent,,,,
"fluorescent, protein",proteína,Github,,
sparke,sparke,None,,sparke
demonstration,manifestación ,Github,,
jellyfish,medusa ,Github,,
"infection, post, transplant, nosocomial, outbreak","infección , poste , trasplantar, erupción ","Github, Github, Github, Github",outbreak->eruption,
"control, treatment","control, trato ","Github, Github",,
bone,[mexico] quemarse las pestañas,Github,,
"post, transplant","poste , trasplantar","Github, Github",,
pneumophila,pneumophila,None,,pneumophila
pneumonia,pulmonía ,Github,,
infection,infección ,Github,,
evaluation,evaluación ,Github,,
"bone, marrow, transplant, unit","[mexico] quemarse las pestañas, médula , trasplantar, unidad ","Github, Github, Github, Github",,
"bone, marrow","[mexico] quemarse las pestañas, médula ","Github, Github",,
unit,unidad ,Github,,
control,control,Github,,
"metab, generate, heat","metab, generar, calor","None, Github, Github",,metab
fermentation,fermentación,Github,,
balance,balanza,Github,,
"b, metab, generate, heat","b, metab, generar, calor","Chemical Element, None, Github, Github",,metab
"heat, balance","calor, balanza","Github, Github",,
system,sistema ,Github,,
"entire, fermentation, system, heat, balance","entire, fermentación, sistema , calor, balanza","None, Github, Github, Github, Github",,entire
condition,condición ,Github,,
"whey, cheese, SCP, production","suero de la leche, queso , SCP, producción ","Github, Github, None, Github",,SCP
rate,rate,None,,rate
"K., fragilis","K., fragilis","None, None",,"K., fragilis"
"continuous, operating, condition","continuo, influir; controlar, condición ","Github, Github, Github",operating->operate,
system,sistema ,Github,,
hea,hea,None,,hea
"heat, production, rate","calor, producción , rate","Github, Github, None",,rate
production,producción ,Github,,
fermenter,fermenter,None,,fermenter
procedure,procedimiento ,Github,,
"magainin, oligomer","magainin, oligómero","None, Github",,magainin
"antiparallel, helix",hélice ,Github,,
presence,presencia ,Github,,
"magainin, dimer","magainin, dimero","None, Github",,magainin
"sigmoidal, bind, isotherm","aglutinar, isoterma","Github, Mexican Laws",,
"resultant, NMR, data","resultar, NMR, datos ","Github, None, Github",resultant->result,NMR
isotherm,isoterma,Mexican Laws,,
research,investigar,Github,,
scientist,científico ,Github,,
"natural, resource","natural, recurso ","Github, Github",,
solution,solución ,Github,,
technology,tecnología ,Github,,
"natural, resource, management, work, scientist","natural, recurso , administración , trabajar, científico ","Github, Github, Github, Github, Github",,
management,administración ,Github,,
processing,proceso,Github,processing->process,
resource,recurso ,Github,,
area,area,None,,area
"natural, resource, management","natural, recurso , administración ","Github, Github, Github",,
"processing, post, harvest, handling","proceso, poste , cosechar, manipulación ","Github, Github, Github, Github",processing->process,
post,poste ,Github,,
"fertile, imagination","fértil, imaginación ","Github, Github",,
"large, scale, bioconversion, process","grande, costra de óxido balanza escala, bioconversión, proceso","Github, Github, Mexican Laws, Github",,
process,proceso,Github,,
"m, genetic, technique, increase, number","m, genético, técnica , aumentar, numerar","None, Github, Github, Github, Github",,m
"biocatalytic, strain",deformación bajo carga,Github,,
bioconversion,bioconversión,Mexican Laws,,
development,desarrollo ,Github,,
"technique, increase, number","técnica , aumentar, numerar","Github, Github, Github",,
characteristic,característica ,Github,,
"portugal, S., cerevisiae","portugal , S., cerevisiae","Github, None, None",,"S., cerevisiae"
manipulation,manipulación ,Github,,
cerevisiae,cerevisiae,None,,cerevisiae
"laboratory, strain","laboratorio, deformación bajo carga","Github, Github",,
strain,deformación bajo carga,Github,,
laboratory,laboratorio,Github,,
"pathological, normal, remodeling, maturation","patológico, normal, remodelar, maduración ","Github, Github, Github, Github",remodeling->remodel,
tissue,tejido ,Github,,
"pathological, normal, remodeling, maturation, development","patológico, normal, remodelar, maduración , desarrollo ","Github, Github, Github, Github, Github",remodeling->remodel,
dawn,amanecer,Github,,
